ranking,title,net_score,verse_count,ref_count,journal_hits,book_hits,commentary_hits,arch_site,manuscript_hits,primary_source_quotes,poor_referencing,wiki_quality,ancient_historian_hits,ante_nicene_hits,mythicist_hits,data_interp_tier,data_interp_split_contribution,data_interp_pending,jesus_seminar_hits,jesus_seminar_mult,jesus_seminar_contribution,mythicist_mult,mythicist_contribution,no_bible_verse,ot_nt_criticism_contribution,supernatural_criticism_contribution,secular_materialist_contribution,literary_analysis_contribution,gnostic_over_emphasis_contribution,confessional_balance_contribution,balanced_debate_contribution,jewish_context_hits,other_religion_hit,balanced_debate_hits,balanced_debate_named,critical_scholar_hits,critical_outside_interp,evangelical_contrast,maps_diagrams_count,has_picture_wide,has_picture_narrow,has_diagram_or_map,is_passion,is_miracle,is_parable,is_location,is_teaching,is_bible_book
1,Gospel of Luke,55,16,113,1,46,5,False,4,28,False,False,2,3,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,6,-2,-1,0,3,False,0,0,1,False,False,0,True,True,False,False,False,False,False,False,True
2,Emmaus,53,6,75,4,14,3,True,2,37,True,False,1,2,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,4,True,0,0,0,False,False,2,True,True,True,False,False,False,True,False,False
3,Chronology of Jesus,51,37,202,15,119,10,True,1,44,False,False,3,6,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,7,True,0,0,0,False,True,1,True,True,True,False,False,False,False,False,False
4,Gospel of Mark,51,43,165,8,38,5,True,2,52,True,False,3,1,0,clear_split,10,False,1,0.5,-3,1.0,0,False,0,0,0,6,0,0,0,8,False,0,0,0,False,True,0,True,True,False,False,False,False,False,False,True
5,Rich man and Lazarus,51,5,79,1,13,4,False,1,54,True,False,1,3,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,6,0,0,0,3,True,0,0,0,False,True,0,True,True,False,False,False,True,False,False,False
6,Saint Joseph,51,16,141,4,39,1,True,0,49,False,False,1,3,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,5,False,0,0,0,False,False,0,True,True,False,False,False,False,True,False,False
7,Al-Maghtas,50,6,48,4,9,2,True,1,33,False,False,0,2,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,4,True,0,0,0,False,False,2,True,True,True,False,False,False,True,False,False
8,Jesus and the woman taken in adultery,50,19,68,6,19,3,False,4,59,False,False,0,5,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,-1,0,2,False,0,0,1,False,False,0,True,True,False,False,False,False,False,True,False
9,Nativity of Jesus,50,28,205,2,145,6,True,2,54,False,False,0,5,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,4,0,0,0,2,True,0,0,0,False,False,2,True,True,True,False,False,False,False,False,False
10,Bethany,49,19,78,3,3,0,True,1,27,False,False,1,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,6,True,0,0,0,False,False,1,True,True,True,False,False,False,True,False,False
11,Cana,49,3,25,2,5,0,True,1,8,True,False,1,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,4,0,0,0,1,False,0,0,0,False,False,2,True,True,True,False,False,False,True,False,False
12,Gospel of John,49,11,198,4,51,6,True,2,69,False,True,0,3,0,clear_split,10,False,1,0.5,-3,1.0,0,False,0,0,0,6,-2,0,0,6,False,0,0,0,False,True,0,True,True,False,False,False,False,False,False,True
13,Pontius Pilate,49,15,301,0,6,1,True,1,61,False,False,3,5,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,-3,0,5,False,0,0,2,True,True,1,True,True,True,False,False,False,False,False,False
14,Bethsaida,48,12,48,4,8,0,True,0,34,True,False,1,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,3,False,0,0,0,False,False,2,True,True,True,False,False,False,True,False,False
15,Gospel of Matthew,48,21,121,4,46,5,False,1,25,False,False,1,4,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,6,0,0,0,6,True,0,0,0,False,True,0,True,True,False,False,False,False,False,False,True
16,New Testament places associated with Jesus,46,30,76,0,74,7,True,0,9,False,False,0,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,4,0,0,0,1,False,0,0,0,False,False,1,True,True,True,False,False,False,True,False,False
17,Bread of Life Discourse,45,7,16,0,7,3,False,0,17,False,False,0,3,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,6,0,0,0,1,False,0,0,0,False,False,0,True,True,False,False,False,False,False,True,False
18,Crucifixion of Jesus,45,16,285,8,107,3,True,1,100,False,False,5,6,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,-2,-3,0,2,True,0,0,2,True,True,2,True,True,True,True,False,False,False,False,False
19,Joseph of Arimathea,45,7,42,1,14,1,True,0,35,False,False,1,4,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,2,True,0,0,0,False,False,0,True,True,False,False,False,False,True,False,False
20,Josephus on Jesus,45,6,175,5,39,3,True,1,70,False,False,4,3,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,-3,0,4,True,0,0,2,True,True,0,True,True,False,False,False,False,False,False,False
21,Capernaum,44,17,29,2,4,0,True,1,11,True,False,1,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,2,True,0,0,0,False,False,1,True,True,True,False,False,False,True,False,False
