ranking,title,net_score,verse_count,ref_count,journal_hits,book_hits,commentary_hits,arch_site,manuscript_hits,primary_source_quotes,poor_referencing,wiki_quality,ancient_historian_hits,ante_nicene_hits,mythicist_hits,data_interp_tier,data_interp_split_contribution,data_interp_pending,jesus_seminar_hits,jesus_seminar_mult,jesus_seminar_contribution,mythicist_mult,mythicist_contribution,no_bible_verse,ot_nt_criticism_contribution,supernatural_criticism_contribution,secular_materialist_contribution,literary_analysis_contribution,gnostic_over_emphasis_contribution,confessional_balance_contribution,balanced_debate_contribution,jewish_context_hits,other_religion_hit,balanced_debate_hits,balanced_debate_named,critical_scholar_hits,critical_outside_interp,evangelical_contrast,maps_diagrams_count,has_picture_wide,has_picture_narrow,has_diagram_or_map,is_passion,is_miracle,is_parable,is_location,is_teaching,is_bible_book
22,Jesus preaches in a ship,44,9,10,0,4,6,True,1,7,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,6,0,0,0,0,False,0,0,0,False,True,0,True,True,False,False,False,False,False,True,False
23,Mary Magdalene,44,29,334,1,16,0,True,1,143,True,True,1,3,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,-2,-3,0,3,True,0,0,11,True,True,0,True,True,False,False,False,False,True,False,False
24,Temptation of Christ,44,16,67,4,11,7,False,1,44,True,False,0,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,6,0,0,0,1,True,0,0,0,False,True,0,True,True,False,False,False,False,False,True,False
25,Census of Quirinius,43,5,56,4,11,1,True,1,20,False,False,1,3,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,1,False,0,0,0,False,True,0,True,True,False,False,False,False,False,False,False
26,Date of the birth of Jesus,43,17,154,7,35,1,True,1,67,True,False,1,4,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,5,True,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
27,Farewell Discourse,43,28,25,0,23,3,False,1,28,False,False,3,0,0,clear_split,10,False,1,0.5,-3,1.0,0,False,0,0,0,6,0,0,0,2,True,0,0,0,False,False,0,True,True,False,False,False,False,False,True,False
28,Names and titles of Jesus in the New Testament,43,123,148,0,120,5,True,1,96,True,False,1,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,3,True,0,0,0,False,False,0,True,True,False,False,False,False,False,True,False
29,Nazarene (title),43,35,97,3,4,3,False,1,69,True,False,1,4,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,-2,0,0,6,True,0,0,0,False,False,0,True,True,False,False,False,False,False,True,False
30,Passion of Jesus,43,17,58,2,13,0,False,1,34,True,False,3,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,4,0,0,0,5,True,0,0,0,False,False,0,True,True,False,True,False,False,False,False,False
31,Exorcism of the Gerasene demoniac,42,8,44,2,12,4,True,1,27,False,False,0,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,2,False,0,0,0,False,True,1,True,True,True,False,False,False,False,False,False
32,Magdala,42,2,66,2,3,0,True,1,31,False,False,1,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,4,True,0,0,0,False,False,2,True,True,True,False,False,False,True,False,False
33,Parable of the Talents,42,13,32,0,12,3,False,1,28,False,False,1,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,6,0,0,0,1,True,0,0,0,False,False,0,True,True,False,False,False,True,False,False,False
34,Saint Peter,42,16,332,6,58,11,True,1,176,True,False,3,10,1,clear_split,10,False,0,1.0,0,0.5,-3,False,-3,0,0,0,-2,-3,0,4,True,0,0,1,True,True,0,True,True,False,False,False,False,True,False,False
35,Sermon on the Mount,42,15,43,3,20,0,True,1,15,True,False,2,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,6,-2,0,0,2,True,0,0,0,False,True,0,True,True,False,False,False,False,False,True,False
36,Calvary,41,10,85,0,12,0,True,0,28,True,False,1,3,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,1,True,0,0,0,False,False,0,True,True,False,True,False,False,True,False,False
37,Penitent thief,41,5,45,0,7,1,True,1,36,False,False,0,2,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,0,False,0,0,0,False,False,0,True,True,False,False,False,False,True,False,False
38,Thomas the Apostle,41,5,108,1,3,0,True,1,60,True,False,0,3,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,-2,0,0,0,True,0,0,0,False,False,1,True,True,True,False,False,False,True,False,False
39,Turning the other cheek,41,13,12,0,6,5,False,1,17,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,4,False,0,0,0,False,True,0,True,True,False,False,False,False,False,True,False
40,Herod Antipas,40,12,63,1,2,0,True,0,10,False,False,2,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,3,False,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
41,Historicity of the Gospels,40,2,260,14,107,9,True,1,71,True,False,3,3,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,6,-2,-3,0,2,True,0,0,7,True,True,0,True,True,False,False,False,False,False,False,True
42,Jordan River,40,29,39,1,7,0,True,1,22,True,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,1,True,0,0,0,False,False,2,True,True,True,False,False,False,True,False,False
43,Al-Eizariya (Bethany),39,19,78,3,3,0,True,1,27,False,False,1,1,0,unclassifiable,0,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,6,True,0,0,0,False,False,1,True,True,True,False,False,False,True,False,False
44,Brothers of Jesus,39,17,86,0,13,1,True,1,41,False,False,1,4,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,-2,0,0,1,False,0,0,0,False,True,0,True,True,False,False,False,False,False,False,False
45,Genealogy of Jesus,39,6,123,4,27,12,False,1,55,True,False,1,7,0,clear_split,10,False,2,0.5,-5,1.0,0,False,0,0,0,0,0,0,0,7,True,0,0,0,False,True,1,True,True,True,False,False,False,False,False,False
46,Ministry of Jesus,39,57,119,0,106,11,True,0,26,False,False,1,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,4,0,0,0,2,True,0,0,0,False,False,1,True,True,True,False,False,False,False,False,False
47,Olivet Discourse,39,6,36,0,10,2,False,0,33,True,False,0,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,6,0,0,0,1,False,0,0,0,False,False,0,True,True,False,False,False,False,False,True,False
48,Raising of Jairus' daughter,39,20,21,0,7,0,True,1,33,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,4,0,0,0,2,False,0,0,0,False,False,0,True,True,False,False,True,False,False,False,False
49,Resurrection,39,14,114,5,19,0,True,1,86,True,False,1,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,8,True,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
50,Judas Iscariot,38,39,158,7,50,8,False,1,95,True,False,2,2,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,-2,-1,0,3,True,0,0,2,False,False,0,True,True,False,False,False,False,False,False,False
51,"Mary, mother of Jesus",38,37,365,2,172,4,True,1,134,True,False,1,4,0,unclassifiable,0,True,0,1.0,0,1.0,0,False,0,0,0,0,0,-1,0,4,True,0,0,1,False,False,0,True,True,False,False,False,False,True,False,False
52,Parable of the Wicked Husbandmen,38,5,14,1,3,0,True,1,7,False,False,0,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,6,-2,0,0,1,True,0,0,0,False,True,0,True,True,False,False,False,True,False,False,False
53,Transfiguration of Jesus,38,22,54,0,3,0,False,1,21,False,False,1,3,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,4,-2,0,0,1,True,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
54,Beatitudes,37,15,35,0,14,2,False,1,23,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,6,0,0,0,1,True,0,0,0,False,False,0,True,True,False,False,False,False,False,True,False
55,Herod the Great,37,11,125,12,18,0,True,1,48,True,False,1,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,7,True,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
56,Jesus healing the bleeding woman,37,4,23,0,1,1,False,0,13,True,False,0,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,4,0,0,0,4,False,0,0,0,False,False,0,True,True,False,False,True,False,False,False,False
57,Kidron Valley,37,7,24,2,7,1,True,0,10,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,4,False,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
58,Logos (Christianity),37,10,86,2,10,1,False,1,65,True,False,1,6,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,-2,0,0,2,True,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
59,Thirty pieces of silver,37,7,42,0,11,4,True,0,22,False,True,1,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,0,False,0,0,0,False,True,0,True,True,False,True,False,False,False,True,False
60,Woes to the unrepentant cities,37,4,4,0,1,1,True,0,8,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,2,False,0,0,0,False,False,0,True,True,False,False,False,False,False,True,False
61,Bethlehem,36,11,165,2,18,1,True,0,62,True,True,0,3,0,unclassifiable,0,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,1,True,0,0,0,False,False,2,True,True,True,False,False,False,True,False,False
62,Caiaphas,36,7,22,0,5,0,True,0,10,True,False,1,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,8,False,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
63,John the Baptist,36,35,259,4,69,5,True,1,156,True,False,1,0,0,clear_split,10,False,2,0.5,-5,1.0,0,False,0,0,0,0,-2,0,0,6,True,0,0,0,False,False,0,True,True,False,False,False,False,True,False,False
64,Lord's Prayer,36,32,179,0,26,8,True,3,120,True,False,2,3,0,muddled,-5,False,0,1.0,0,1.0,0,False,0,0,0,0,-2,0,0,2,True,0,0,0,False,True,1,True,True,True,False,False,False,False,True,False
65,Parable of the Prodigal Son,36,8,49,5,16,2,False,0,37,True,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,6,0,0,0,1,True,0,0,0,False,False,0,True,True,False,False,False,True,False,False,False
66,The four woes of Jesus,36,5,10,0,1,3,False,1,13,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,2,False,0,0,0,False,False,0,True,True,False,False,False,False,False,True,False
67,Anointing of Jesus,35,10,16,0,7,0,False,1,23,True,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,2,False,0,0,0,False,False,1,True,True,True,True,False,False,False,False,False
68,Disciple whom Jesus loved,35,12,64,1,24,1,False,0,22,True,False,1,2,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,-2,0,0,1,False,0,0,0,False,True,0,True,True,False,False,False,False,False,True,False
69,"James, brother of Jesus",35,31,135,2,33,4,True,1,118,True,False,1,7,0,unclassifiable,0,True,1,1.0,-5,1.0,0,False,0,0,0,0,-2,0,0,5,False,0,0,0,False,False,0,True,True,False,False,False,False,True,False,False
70,Jesus predicts his death,35,19,43,2,15,0,False,0,31,False,False,1,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,-2,-2,4,-2,0,0,4,False,0,0,0,False,False,0,True,True,False,True,False,False,False,False,False
71,New Wine into Old Wineskins,35,7,12,0,6,4,False,0,6,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,3,True,0,0,0,False,False,0,True,True,False,False,False,True,False,True,False
72,Nicodemus,35,9,70,6,14,3,False,0,40,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,5,False,0,0,0,False,True,0,True,True,False,False,False,False,True,False,False
73,Parable of the Sower,35,8,10,0,0,3,False,0,21,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,6,-2,0,0,1,False,0,0,0,False,False,0,True,True,False,False,False,True,False,False,False
74,Pilate's court,35,19,15,0,4,2,True,0,9,False,False,0,2,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,1,False,0,0,0,False,False,0,True,True,False,True,False,False,False,False,False
75,Return of Jesus to Galilee,35,4,6,0,1,0,False,0,3,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,4,0,0,0,1,False,0,0,0,False,False,1,True,True,True,False,False,False,False,False,False
76,Sources for the historicity of Jesus,35,24,225,4,172,3,True,1,69,False,False,8,3,0,clear_split,10,False,1,2.0,-8,1.0,0,False,0,0,0,0,-2,-3,0,5,True,0,0,5,True,True,0,True,True,False,False,False,False,False,False,False
77,Cleansing of the Temple,34,25,57,2,21,5,True,0,23,True,False,1,1,0,clear_split,10,False,2,0.5,-5,1.0,0,False,0,0,0,4,0,-3,0,2,False,0,0,2,True,True,0,True,True,False,True,False,False,False,False,False
78,Clopas,34,8,11,0,1,0,False,1,12,False,False,0,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,2,False,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
79,Decapolis,34,2,19,5,4,1,True,0,11,False,False,1,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,1,True,0,0,0,False,False,0,True,True,False,False,False,False,True,False,False
80,Exorcism of the Syrophoenician woman's daughter,34,9,15,1,3,2,False,0,19,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,3,False,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
81,Healing of the centurion's servant,34,7,18,1,12,5,False,0,16,False,False,0,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,4,-2,0,0,1,False,0,0,0,False,True,0,True,True,False,False,True,False,False,False,False
82,Healing the blind near Jericho,34,5,14,2,6,0,False,0,5,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,4,0,-1,0,1,False,0,0,1,False,False,0,True,True,False,False,True,False,False,False,False
83,Jesus at the home of Martha and Mary,34,13,30,3,3,1,False,1,26,True,False,0,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,1,False,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
84,Jesus healing an infirm woman,34,4,8,0,3,2,False,0,11,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,3,False,0,0,0,False,False,0,True,True,False,False,True,False,False,False,False
85,Ascension of Jesus,33,15,57,3,2,0,True,1,24,True,False,0,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,1,True,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
86,Baptism of Jesus,33,17,81,0,52,7,True,0,19,False,False,3,2,0,clear_split,10,False,1,2.0,-8,1.0,0,False,0,0,0,0,0,0,0,1,True,0,0,0,False,False,1,True,True,True,False,False,False,False,False,False
87,Crucifixion darkness,33,2,80,0,3,4,False,1,23,False,True,3,4,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,-2,0,0,1,True,0,0,0,False,False,0,True,True,False,True,False,False,False,False,False
88,Feeding the multitude,33,13,19,0,0,3,False,1,8,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,4,0,0,0,1,False,0,0,0,False,False,0,True,True,False,False,True,False,False,False,False
89,Jesus and the rich young man,33,4,14,0,4,2,False,0,20,False,False,0,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,4,0,0,0,0,False,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
90,Lazarus of Bethany,33,5,104,0,20,3,True,1,64,True,False,0,1,0,one_sided,0,False,0,1.0,0,1.0,0,False,0,0,0,4,0,0,0,2,True,0,0,0,False,False,0,True,True,False,False,False,False,True,False,False
91,Mount of Olives,33,10,39,3,9,0,True,0,24,True,False,1,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,-2,0,0,1,True,0,0,0,False,False,2,True,True,True,False,False,False,False,False,False
92,New Commandment,33,16,18,0,7,3,False,0,7,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,1,False,0,0,0,False,False,0,True,True,False,False,False,False,False,True,False
93,Noli me tangere,33,3,17,0,7,0,True,1,8,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,2,False,0,0,0,False,False,0,True,True,False,False,False,False,False,True,False
94,Parable of the Faithful Servant,33,5,6,0,4,1,False,0,7,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,6,0,0,0,0,True,0,0,0,False,False,0,True,True,False,False,False,True,False,False,False
95,Prayers of Jesus,33,19,2,0,0,0,False,0,5,False,False,3,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,1,True,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
96,Salome (disciple),33,8,20,0,10,0,False,1,21,False,False,1,2,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,-2,0,0,0,False,0,0,0,False,False,0,True,True,False,False,False,False,True,False,False
97,Son of man (Christianity),33,34,36,0,20,1,False,0,50,False,False,1,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,-1,0,3,True,0,0,1,False,False,0,True,True,False,False,False,False,False,True,False
98,Calming the storm,32,4,4,0,2,2,False,0,7,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,1,False,0,0,0,False,False,0,True,True,False,False,True,False,False,False,False
99,Crown of thorns,32,5,40,0,4,2,True,0,17,True,False,0,2,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,0,False,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
100,Healing the mother of Peter's wife,32,6,7,0,0,2,False,1,10,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,2,False,0,0,0,False,False,0,True,True,False,False,True,False,False,False,False
101,I am (biblical term),32,32,8,0,4,0,False,0,7,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,4,0,0,0,0,False,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
102,Jesus in the synagogue of Capernaum,32,8,6,0,0,0,False,0,5,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,4,0,0,0,1,False,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
103,John the Apostle,32,13,158,2,54,5,False,1,67,True,False,1,6,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,-2,-3,0,1,True,0,0,2,True,True,0,True,True,False,False,False,False,True,False,False
104,Lord of the Sabbath,32,4,14,0,2,2,False,0,8,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,1,False,0,0,0,False,False,0,True,True,False,False,False,False,False,True,False
105,Mary of Bethany,32,7,41,2,8,4,False,0,30,True,False,0,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,1,False,0,0,0,False,False,0,True,True,False,False,False,False,True,False,False
106,Parable of the Good Samaritan,32,12,75,0,0,1,True,0,63,False,False,0,2,0,clear_split,10,False,3,2.0,-14,1.0,0,False,0,0,0,6,0,0,0,5,False,0,0,0,False,False,1,True,True,True,False,False,True,False,False,False
107,Parable of the Rich Fool,32,4,14,0,5,3,False,0,15,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,6,-2,0,0,0,True,0,0,0,False,False,0,True,True,False,False,False,True,False,False,False
108,Parable of the Workers in the Vineyard,32,1,10,0,2,6,False,0,4,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,6,0,0,0,2,True,0,0,0,False,False,0,True,True,False,False,False,True,False,False,False
109,Calling of the disciples,31,7,11,0,6,1,False,0,6,False,False,0,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,4,0,0,0,0,False,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
110,Cleopas,31,4,16,0,2,1,True,0,10,False,False,0,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,0,False,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
111,Gennesaret (Kinneret archaeological site),31,7,23,0,8,0,True,0,2,False,False,1,0,0,unclassifiable,0,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,1,False,0,0,0,False,False,2,True,True,True,False,False,False,True,False,False
112,Jesus healing in the land of Gennesaret,31,3,4,0,2,1,False,0,4,False,False,1,0,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,1,False,0,0,0,False,False,0,True,True,False,False,True,False,False,False,False
113,Joses,31,9,23,0,2,0,False,1,16,True,False,0,1,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,0,0,0,0,False,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False
114,Last Supper,31,28,108,0,6,0,True,1,29,False,False,1,0,0,clear_split,10,False,1,0.5,-3,1.0,0,False,0,0,0,0,-2,0,0,4,True,0,0,0,False,True,0,True,True,False,True,False,False,False,False,False
115,Maundy (foot washing),31,11,52,2,17,0,False,0,20,True,False,0,4,0,clear_split,10,False,0,1.0,0,1.0,0,False,0,0,0,0,-2,0,0,1,True,0,0,0,False,False,0,True,True,False,False,False,False,False,False,False
116,Nazareth,31,7,180,10,32,2,True,1,60,True,False,0,3,0,unclassifiable,0,False,1,2.0,-8,1.0,0,False,0,0,0,0,0,0,0,2,True,0,0,0,False,False,2,True,True,True,False,False,False,True,False,False
